Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 31	Raw Lat: 4254148N	Raw Long: 07059038W	Parameter: 0.1	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 31	Raw Lat: 4254149N	Raw Long: 07059037W	Parameter: 0.2	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 31	Raw Lat: 4254150N	Raw Long: 07059037W	Parameter: 0.2	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 31	Raw Lat: 4254150N	Raw Long: 07059037W	Parameter: 0.1	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 31	Raw Lat: 4254150N	Raw Long: 07059036W	Parameter: 0.1	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 31	Raw Lat: 4254150N	Raw Long: 07059036W	Parameter: 0.1	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 31	Raw Lat: 4254150N	Raw Long: 07059036W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 31	Raw Lat: 4254150N	Raw Long: 07059036W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 31	Raw Lat: 4254150N	Raw Long: 07059036W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 32	Raw Lat: 4254150N	Raw Long: 07059036W	Parameter: 0.0	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 32	Raw Lat: 4254150N	Raw Long: 07059036W	Parameter: 0.1	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 32	Raw Lat: 4254150N	Raw Long: 07059036W	Parameter: 0.2	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 32	Raw Lat: 4254150N	Raw Long: 07059036W	Parameter: 0.1	
Device ID: 06	Day: 17	Month: 5	Year: 18	Hour: 14	Minute: 32	Raw Lat: 4254150N	Raw Long: 07059036W	Parameter: 0.1	
