NestNum,Location,NestID,M#1,M#2,Lat,Lon,Notes
38,Sunset,22G60,5KJ / 2AK,1EE,42.98695,-70.61596,
39,Sunset,22G61,4EC,UB,42.98686,-70.61597,
40,Sunset,22G62,5T9,UB,42.98685,-70.61602,
41,Sunset,22G63,1R4,UB,42.98697,-70.61585,
42,Sunset,22G84,0U4,UB,42.98696,-70.61580,
43,FMS 27,22G10,1R1,UB,42.98577,-70.61833,
44,FMS 27,22G11,9K4,7KJ,42.98601,-70.61824,
45,FMS 27,22G13,9P5,UB,42.98619,-70.61820,
46,FMS 27,22G17,5M4,UB,42.98604,-70.61821,
47,FMS 27,22G158,1T5,UB,42.98601,-70.61816,
48,FMS 28,22G09,7C5,UB,42.98625,-70.61824,
49,FMS 28,22G23,1T4,UB,42.98633,-70.61823,
50,FMS 28,22G89,0AZ,UB,42.98650,-70.61795,
51,FMS 28,22G90,2Z1,UB,42.98626,-70.61812,
52,FMS 28,22G91,0Y4,UB,42.98630,-70.61811,
53,FMS 28,22G94,6FU,UB,42.98636,-70.61807,
54,FMS 28,22G132,2AY,6FF,42.98651,-70.61790,
55,dock,22G65,9EH,5HC,42.98708,-70.61691,
56,dock,22G66,5EC,UB,42.98718,-70.61702,
57,dock,22G67,2U0,3ET,42.98719,-70.61701,
58,dock,22G68,0AX,UB,42.98727,-70.61689,
59,dock,22G69,4FE,UB,42.98724,-70.61703,
60,dock--HTP,22G64,9JP,UB,42.98725,-70.61649,abandoned
61,dock--HTP,22G70,3P2,2017-23864,42.98757,-70.61596,
62,HTP,22G71,2KH / 0X5,4Z1,42.98820,-70.61577,
63,HTP,22G72,3KH / 8C7,4KH / 8JN,42.98821,-70.61583,
64,HTP,22G73,4X5,4X6,42.98836,-70.61580,
65,HTP,22G74,2FL,5KH,42.98839,-70.61570,
66,HTP,22G75,0EK,UB,42.98844,-70.61568,
67,HTP,22G86,5Y4,8KE,42.98817,-70.61583,
68,HTP,22G106,0KH / 6AC,UB,42.98850,-70.61562,
69,HTP,22G107,6JN,UB,42.98845,-70.61569,
70,HTP,22G108,0N7,5JN,42.98846,-70.61577,
71,HTP,22G127,5KK / 3EH,9JN,42.98810,-70.61578,
72,HTP/Tide Pool,22G109,0HA,UB,42.98854,-70.61551,
73,HTP/Tide Pool,22G110,0P3,5FE,42.98858,-70.61542,
74,swale,22G111,2HZ / 8F7,0HZ,42.98848,-70.61532,
75,Paint Shed,22G76,5Y3,UB,42.98876,-70.61531,
76,Paint Shed,22G112,0EU,9KE,42.98877,-70.61529,
77,Dive Locker,22G114,0HX / 5J1,0KE / 7JM,42.98897,-70.61542,
78,R/V Fettuccine,22G113,2Z0,UB,42.98881,-70.61510,
79,FMS 4,22G135,3Z9,UB,42.98911,-70.61624,
80,FMS 4,22G136,8EU,UB,42.98914,-70.61618,
81,FMS 4,22G141,2H1,UB,42.98910,-70.61616,
82,FMS 4,22G152,1777-28114,UB,42.98901,-70.61606,
83,FMS 5,22G35,7U9,0AC,42.98930,-70.61647,
84,Grass Lab,22G43,7JN,7JU,42.98903,-70.61570,
85,Grass Lab,22G44,9AC,3AP,42.98916,-70.61588,
86,Grass Lab/AIMS,22G120,0J2,5R7,42.98933,-70.61523,
87,Ross's Pole Barn,22G123,5AT,UB,42.98964,-70.61457,
88,Celia's bench/sumac,22G131,0AU,UB,42.98943,-70.61629,
89,Celia's bench,22G32,3T3,5ER,42.98937,-70.61626,
90,Celia's,22G115,5Y9,UB,42.98960,-70.61604,
91,Celia's,22G117,3FZ,UB,42.98955,-70.61614,abandoned
92,Celia's (rocks),22G116,8X2,UB,42.98996,-70.61597,
93,trail--Sandpiper,22G30,7F9,9FJ,42.98990,-70.61685,
94,trail--Sandpiper,22G31,1FM,UB,42.98987,-70.61685,
95,trail--Sandpiper,22G34,2M8,0FU,42.98970,-70.61688,
96,trail--Sandpiper,22G85,8FF,UB,42.98961,-70.61680,
97,Larus,22G26,3EE,UB,42.99094,-70.61681,*location changed from SP
98,Larus,22G27,0KK / 9M4,,42.99095,-70.61671,*location changed from SP
99,Larus,22G33,1T9,6KE,42.99100,-70.61675,*location changed from SP
100,Sandpiper,22G37,5F6,0KT / 7EE,42.99072,-70.61680,
101,Larus,22G40,3R2,,42.99110,-70.61650,*location changed from SP
102,Larus,22G45,7JP,,42.99104,-70.61669,*location changed from SP
103,Sandpiper,22G77,5KE,UB,42.99049,-70.61676,
104,Sandpiper,22G129,6AY,UB,42.99030,-70.61663,
105,Sandpiper,22G139,7FL,4JN,42.99054,-70.61681,
106,Sandpiper,22G140,7Z4,UB,42.99069,-70.61664,
107,Sandpiper,22G142,7AP,UB,42.99062,-70.61670,
108,Sandpiper,22G153,7EP,UB,42.99033,-70.61682,
109,Larus,22G28,3R4,,42.99154,-70.61609,
110,Larus,22G36,1997-12827,UB,42.99122,-70.61655,
111,Larus,22G46,6F3,UB,42.99142,-70.61646,
112,Larus,22G48,9T1,8JP,42.99183,-70.61569,
113,Larus,22G154,0FM,UB,42.99112,-70.61665,
114,Larus,22G155,6HZ,UB,42.99187,-70.61585,
115,North Head,22G42,5Z4,UB,42.99233,-70.61486,
116,North Head,22G47,4FU,,42.99229,-70.61467,
117,North Head,22G49,8V2,UB,42.99210,-70.61498,
118,North Head,22G50,1Z1,,42.99232,-70.61461,
119,North Head,22G161,8J9,UB,42.99200,-70.61519,
120,DDF,22G18,3T1,5JV,42.99164,-70.61488,
121,DDF,22G29,0HU,3HZ,42.99181,-70.61497,
122,DDF,22G119,0FJ,1KE,42.99157,-70.61493,
123,rock-on-trail,22G118,7 E 6,3HE,42.99072,-70.61501,
124,Siren's,22G38,5EF,3KE,42.99196,-70.61361,
125,Siren's,22G39,3V7,UB,42.99190,-70.61376,
126,Siren's,22G41,2KK / 6M4,2KE,42.99195,-70.61365,
127,Siren's,22G92,7AT,UB,42.99186,-70.61336,
128,Siren's,22G93,7HY,UB,42.99187,-70.61341,
129,Siren's,22G95,4M3,UB,42.99191,-70.61360,
130,Siren's,22G96,7HZ,UB,42.99190,-70.61350,
131,Siren's,22G98,7EA,UB,42.99165,-70.61351,
132,Siren's,22G101,6EN,UB,42.99168,-70.61326,
133,Siren's,22G128,6EC,UB,42.99192,-70.61309,
134,Siren's,22G133,2EA,UB,42.99176,-70.61349,
135,Siren's,22G134,9AL,UB,42.99179,-70.61316,
136,Siren's,22G151,3FM,UB,42.99165,-70.61305,
137,Siren's,22G156,9EA,UB,42.99146,-70.61369,
138,Siren's,22G157,2FC,UB,42.99146,-70.61365,
139,FMS 15,22G83,2U2,UB,42.99139,-70.61300,
140,FMS 15,22G88,5X3,3AV,42.99118,-70.61291,
141,FMS 15,22G97,2HY,UB,42.99078,-70.61306,
142,FMS 15,22G104,7J6,UB,42.99115,-70.61303,
143,FMS 15,22G105,5EX,UB,42.99100,-70.61277,
144,FMS 15,22G149,7HA,UB,42.99073,-70.61310,
145,FMS 15,22G150,3HY,UB,42.99098,-70.61294,
146,Norwegian,22G99,1HZ,UB,42.99017,-70.61310,
147,Norwegian,22G100,9 E 0,UB,42.99005,-70.61317,
148,Norwegian,22G103,1FE,UB,42.99033,-70.61303,
149,Norwegian,22G147,5R8,UB,42.98979,-70.61316,
150,Norwegian,22G148,6K9,UB,42.99040,-70.61316,
151,Norwegian,22G159,2HF,UB,42.99020,-70.61298,
152,Norwegian,22G160,9T5,UB,42.99029,-70.61316,
153,Broad--Norwegian,22G81,1HA,UB,42.98960,-70.61326,
154,Broad N,22G79,6R3,4AC,42.98938,-70.61364,
155,Broad N,22G80,5R6,UB,42.98938,-70.61357,
156,Broad S,22G78,0U0,UB,42.98899,-70.61273,
157,Broad--incinerator,22G102,2P3,1JN,42.98887,-70.61234,
,E side; near pier,LungingG01,4N2,UB,42.97736,-70.62613,
,Halftide,22G03,7K0,,NA,NA,*nest flag location not 7K0's
,N side; on rocks,LungingG03,3Y7,UB,42.97786,-70.62695,
,S side; on rocks,LungingG02,5AZ,,42.97606,-70.62610,
