Band,NestID21,NestID22,NestID23,NestID24,BandedYear,BandedAge,Age,AgeMin,BandedLocation,BandedLat,BandedLon,Sex,Reason,Head-plus-Bill,Parents / Family,Status
4Z9,21G52,22G59,23G17,24G14,2015,adult,,13,Sunset,,,,,142.1,,
4EC,21G54,22G61,23G19,24G15,2016,adult,,12,Sunset,,,,,145.5,,
1K9,21G06,22G54,,24G16,2010,adult,,18,K House,,,F,genetic,142.5,,
9JP,21G18,22G64,23G10,24G17,2021,adult,,7,dock,,,M,morph,149.1,,
6KH,,,23G10,24G17,2023,adult,,5,dock,,,,,,,
5ER,21G27,22G32,23G08,24G19,2017,adult,,11,Grass Lab,,,,,140.1,,
6JN,21G45,22G107,23G29,24G20,2021,adult,,7,HTP,,,,,153.3,,
3KT,,,,24G20,2024,adult,,4,,,,,,,,
4KH / 8JN,21G21,22G72,23G06,24G21,2021,adult,,7,HTP,,,,,139,,
1HY,21G13,,23G01,24G22,2019,adult,,9,Grass Lab,,,,,,,
3ET,,22G67,23G12,24G23,2017,adult,,11,dock--HTP,,,,,142,,
4Z1,21G20,22G71,23G05,24G24,2015,adult,,13,HTP,,,,,142.7,,
9JN,,22G127,23G27,24G25,2021,adult,,7,HTP,,,,,140.7,,
8X2,21G73,22G116,23G21,24G27,2013,adult,,15,Grass Lab,,,,,137.4,,
0KT / 7EE,,22G37,23G52,24G28,2016,adult,,12,Sandpiper,,,,,,,
5KT,,,,24G30,2024,adult,,4,,,,,,,,
5KE,,22G77,23G55,24G31,2022,adult,,6,Sandpiper,,,,,151.7,,
7KT,,,,24G34,2024,adult,,4,,,,,,,,
8KU,,,,24G35,2024,adult,,4,,,,,,,,
0EE,21G02,22G87,23G34,24G38,2016,adult,,12,Kiggins--Bartels,,,M,behav/morph,149.1,,
7KE,,22G87,23G34,24G38,2022,adult,,6,Dorm 1,,,F,morph,,,
9KT,,,,24G43,2024,adult,,4,,,,,,,,
9KK,,,23G32,24G44,2023,adult,,5,Broad,,,,,,,
4FV,21G92,22G121,23G84,24G44,2018,adult,,10,Bartels--bench,,,,,138.7,,
8JU,,22G12,23G70,24G45,2022,adult,,6,Gerry's,,,,,,,
4KU,,,,24G45,2024,adult,,4,,,,,,,,
1KU,,,,24G46,2024,adult,,4,,,,,,,,
3JN,21G38,22G06,23G102,24G47,2021,adult,,7,incinerator,,,,,,,
3KU,,,,24G48,2024,adult,,4,,,,,,,,
5FV,,22G05,23G71,24G49,2018,adult,,10,stone bench,,,,,139.4,,
9KE,,22G112,23G02,24G50,2022,adult,,6,Paint Shed,,,,,,,
4KT,,,,24G50,2024,adult,,4,,,,,,,,
9EH,21G87,22G65,23G11,24G51,2016,adult,,12,dock,,,,,149.4,,
2Z1,,22G90,23G126,24G53,2015,adult,,13,Gerry's,,,,,158.3,,
5KU,,,,24G55,2024,adult,,4,,,,,,,,
6KU,,,,24G55,2024,adult,,4,,,,,,,,
8KJ,,,23G41,24G56,2023,adult,,5,Grass--DDF,,,,,,,
7KU,,,,24G57,2024,adult,,4,,,,,,,,
9JM / 4Z8,21G34,22G126,,24G59,2015,adult,,13,incinerator,,,,,146.4,,
6KK,,,23G80,24G61,2023,adult,,5,Gerry's,,,,,,,
9JU,,22G01,23G83,24G63,2022,adult,,6,Gerry's,,,,,,,
4JV,,22G25,23G65,24G65,2022,adult,,6,Gerry's,,,,,,,
0JM,21G37,22G14,23G69,24G66,2021,adult,,7,Gerry's,,,,,,,
2KU,,,,24G67,2024,adult,,4,,,,,,,,
3KJ,,,23G36,24G69,2023,adult,,5,incinerator,,,,,,,
1JN,21G39,22G102,23G62,24G70,2021,adult,,7,incinerator,,,,,139.4,,
2KJ,,,23G35,24G71,2023,adult,,5,incinerator,,,,,,,
4AC,21G23,22G79,23G30,24G72,2016,adult,,12,Broad,,,F,morph,,,
1KJ,,,23G31,24G73,2023,adult,,5,Broad,,,,,,,
4KK,,,23G78,24G75,2023,adult,,5,Siren's,,,,,,,
2KT,,,,24G76,2024,adult,,4,,,,,,,,
6KT,,,,24G76,2024,adult,,4,,,,,,,,
7EA,21G67,22G98,23G76,24G77,2016,adult,,12,Siren's,,,,,145.3,,
2KE,,22G41,,24G78,2022,adult,,6,Siren's,,,,,136.1,,
9EA,,22G156,23G88,24G79,2016,adult,,12,Siren's,,,,,,,
0KJ,,,23G44,24G80,2023,adult,,5,Siren's,,,,,,,
2HY,21G62,22G97,23G92,24G84,2019,adult,,9,Norwegian,,,,,,,
3AV,,22G88,23G91,24G85,2016,adult,,12,Siren's,,,,,,,
9KJ,,,23G43,24G89,2023,adult,,5,DDF,,,,,,,
1JV,,22G82,23G100,24G91,2022,adult,,6,Gerry's,,,,,,,
1777-28147,,22G144,,24G92,2009,adult,,19,Gerry's,,,,,,,
2EF,,22G137,23G68,24G94,2016,adult,,12,incinerator,,,,,,,
2Z0,21G24,22G113,23G02,,2015,adult,,,Dive Locker,,,M,morph,163.8,,
9HY,,22G15,23G104,,2019,adult,,,Gerry's,,,,,,,
0HU,,22G29,23G107,,2019,adult,,,DDF,,,F,"database, morph",139.4,,
5M4,,22G17,23G108,,2012,adult,,,FMS 28,,,,,,,
7KJ,,22G11,23G109,,2022,adult,,,FMS 27,,,,,,,
9Z2,,22G130,23G111,,2015,adult,,,"""Herring Gull Ghetto""",,,,,,,
7JN,21G71,22G43,23G115,,2021,adult,,,Grass Lab,,,M,morph,153.3,,
3R2,,22G40,23G116,,2011,adult,,,Larus,,,,,,,
3R4,,22G28,23G118,,2011,adult,,,FMS 8,,,,,,,
6HZ,21G101,22G155,23G119,,2019,adult,,,North Head,,,,,,,
1997-12827,,22G36,23G125,,2012,adult,,,Larus,,,,,,,
3HY,,22G150,23G134,,2019,adult,,,FMS 14,,,,,,,
0HZ,21G09,22G111,23G22,,2019,adult,,,wastewater trt,,,F,morph,138.7,,
9KH,,,23G23,,2023,adult,,,HTP/Tidepool,,,,,,,
8KE,,22G86,23G29,,2022,adult,,,HTP,,,,,,,
8KH,,,23G32,,2023,adult,,,Broad,,,,,,,
4KJ,,,23G36,,2023,adult,,,incinerator,,,,,,,
6KJ,,,23G40,,2023,adult,,,FMS 28,,,,,,,
5JV,,22G18,23G42,,2022,adult,,,DDF,,,,,134.6,,
2JR,21G56,22G52,23G47,,2021,adult,,,Dorm 2,,,,,135.1,,
0FU,21G16,22G34,23G49,,2018,adult,,,trail--Sandpiper,,,F,morph,128.9,,
2M8,21G16,22G34,23G49,,2012,adult,,,trail--Sandpiper,,,M,morph,162.8,,
8EU,,22G136,23G61,,2017,adult,,,FMS 5,,,,,,,
3JV,,22G20,23G66,,2022,adult,,,Gerry's,,,,,,,
7KK,,,23G66,,2023,adult,,,Gerry's,,,,,,,
1KK,,,23G72,,2023,adult,,,old reservoir,,,,,,,
2KK / 6M4,,22G41,23G73,,2012,adult,,,Siren's,,,,,147.7,,
7HZ,21G66,22G96,23G74,,2019,adult,,,Siren's,,,,,170.3,,
4M3,21G68,22G95,23G75,,2012,adult,,,Siren's,,,,,140.9,,
3KK,,,23G77,,2023,adult,,,Siren's,,,,,,,
6EC,,22G128,23G79,,2016,adult,,,Siren's,,,,,150,,
8KK,,,23G82,,2023,adult,,,Gerry's,,,,,,,
5EC,,22G66,23G87,,2016,adult,,,dock,,,,,150,,
1HA,21G57,22G81,23G98,,2018,adult,,,Broad,,,,,,,
0JP,21GZZ,22G02,,,2021,adult,,,Gerry's,,,,,,,
2JV,,22G02,,,2022,adult,,,incinerator,,,,,,,
1R1,,22G10,,,2011,adult,,,FMS 27,,,,,,,
9K4,,22G11,,,2010,adult,,,FMS 28,,,F,,,,
3HE,21G15,22G118,,,2018,adult,,,Grass--DDF,,,M,morph,159.3,,
7 E 6,21G15,22G118,,,2007,adult,,,old reservoir,,,F,morph,144,,
1KE,,22G119,,,2022,adult,,,DDF,,,,,135.5,,
2EA,,22G133,,,2016,adult,,,Siren's,,,,,138.5,,
4JN,21G50,22G139,,,2021,adult,,,Sandpiper,,,,,139.5,,
0HY,21G37,22G14,,,2019,adult,,,Devil's Glen,,,,,,,
7HA,21G61,22G149,,,2018,adult,,,Norwegian,,,,,,,
8JM,21G31,22G22,,,2021,adult,,,PK/radar,,,,,140.1,,
3HZ,21G100,22G29,,,2019,adult,,,DDF,,,M,"database, morph",153.3,,
6KE,,22G33,,,2022,adult,,,Larus,,,,,,,
0AC,21G14,22G35,,,2016,adult,,,Celia's,,,F,morph,141.5,,
3KE,,22G38,,,2022,adult,,,Siren's,,,,,145.1,,
5EF,21G69,22G38,,,2016,adult,,,Siren's,,,,,159,,
7JU,,22G43,,,2022,adult,,,Grass Lab,,,F,morph,143.2,,
9AC,21G12,22G44,,,2016,adult,,,Grass Lab,,,,,143,,
7JP,21G49,22G45,,,2021,adult,,,Sandpiper,,,,,,,
8JP,,22G48,,,2021,adult,,,Larus,,,,,,,
3AE,,22G51,,,2016,adult,,,Kiggins,,,,,140.4,,
4KE,,22G52,,,2022,adult,,,Dorm 2,,,,,154.7,,
2AE,21G32,22G53,,,2016,adult,,,Dorm 2,,,,,147.8,,
9EF,21G06,22G54,,,2016,adult,,,dock--Laighton,,,M,morph,150.6,,
1R4,21G55,22G63,,,2011,adult,,,Sunset,,,,,160.6,,
7HY,21G65,22G93,,,2019,adult,,,Siren's,,,,,143.3,,
6FU,,22G94,,,2018,adult,,,FMS 28,,,,,140,,
1M7,21G18,,,,2012,adult,,,Laighton,,,F,morph,,,
1Z5,21G10,,,,2015,adult,,,HTP,,,F,morph,,,
2EE,21G04,,,,2016,adult,,,Dorm 2,,,,,141.7,,
2ET,21G19,,,,2017,adult,,,HTP,,,,,,,
2JN,21G35,,,,2021,adult,,,incinerator,,,,,,,
2M5,21G36,,,,2012,adult,,,Gerry's,,,,,,,
2Z2,21G93,,,,2015,adult,,,HTP,,,,,,,
3K6,21G43,,,,2010,adult,,,HTP,,,F,genetic,,,
4HE,21G38,,,,2018,adult,,,Gerry's,,,,,,,
5HE,21G45,,,,2018,adult,,,HTP,,,,,,,
7HU,21G22,,,,2019,adult,,,HTP,,,M,morphological,162.9,,
8EX,21G03,,,,2017,adult,,,Kiggins,,,,,142.8,,
8HU,21G22,,,,2019,adult,,,DDF,,,F,morphological,,,
9HU,21G51,,,,2019,adult,,,Sunset,,,F,morphological,,,
9Z4,21G02,,,,2015,adult,,,Bartels,,,F,morphological,,,
5HU,21G52,,,,--,--,,,--,,,,,,not in database,
0EU / 3E1,21G40,22G112,,,2006,adult,,20,Dive Locker,,,M,genetic,NA,,deceased 2022
0JU,,22G07,,,2022,adult,,4,Gerry's,,,,,,,deceased 2022
0KE / 7JM,21G11,22G114,,,2021,adult,,5,Dive Locker,,,M,morph,159.1,,deceased 2022
1FM,21G75,22G31,,,2017,chick,5,,Grass--DDF,,,,,130.1,,deceased 2022
1HZ,21G59,22G99,,,2019,adult,,7,Norwegian,,,,,,,deceased 2022
2017-23864,21G17,22G70,,,2019,adult,,7,dock--HTP,,,F,morph,134.6,,deceased 2022
3EE,21G29,22G26,,,2016,adult,,10,Sandpiper,,,,,,,deceased 2022
3FZ,,22G117,,,2018,chick,4,,HTP,42.98819,-70.6158,,,125.6,3M8 + UB (18G28),deceased 2022
5HC,21G87,22G65,,,2018,adult,,8,dock,,,,,143.3,,deceased 2022
5Y3,21G10,22G76,,,2014,chick,8,,wastewater trt,,,M,morph,139.5,"sib 5Y4 </3, 5Y5",deceased 2022
5Y4,21G30,22G86,,,2014,chick,8,,wastewater trt,,,,,131.6,"sib 5Y3 </3, 5Y5",deceased 2022
6HU,21G05,22G55,,,2019,adult,,7,dock--Laighton,,,M,morph,150.4,,deceased 2022
7U9,21G14,22G35,,,2014,chick,8,,FMS 5,,,M,morph,108.3,sib 8U2,deceased 2022
9AL,21G64,22G134,,,2015,chick,7,,FMS 14,,,,,,--,deceased 2022
9FJ,,22G30,,,2017,chick,5,,Ross's Pole Barn,42.98967,-70.6146,,,127,3P8 + 7ET (17G64),deceased 2022
9P5,,22G13,,,2010,chick,12,,FMS 28,,,,,,,deceased 2022
