birdID,nestID,obs_date,hatch1_date,days_pre_hatch,response,latency
2HZ,19G57,6/12/19,NA,#VALUE!,5,17
0HZ,19G57,6/12/19,NA,#VALUE!,5,12
4HZ,19G59,6/12/19,6/7/19,-5,8,43
6HU,19G22,6/16/19,6/18/19,2,4,0
X19G22,19G22,6/16/19,6/18/19,2,4,0
2M8,19G30,6/16/19,6/20/19,4,4,0
X19G30,19G30,6/16/19,6/20/19,4,5,62
2P3,19G43,6/16/19,6/10/19,-6,5,131
U19G43,19G43,6/16/19,6/10/19,-6,8,49
4AC,19G49,6/16/19,6/10/19,-6,8,37
6P5,19G49,6/16/19,6/10/19,-6,6,261
U19G54,19G54,6/16/19,6/13/19,-3,5,18
9HY,19G54,6/16/19,6/13/19,-3,8,43
2HZ,19G57,6/16/19,NA,#VALUE!,4,0
0HZ,19G57,6/16/19,NA,#VALUE!,4,0
3HZ,19G58,6/16/19,6/10/19,-6,7,99
6HU,19G22,6/20/19,6/18/19,-2,6,196
X19G22,19G22,6/20/19,6/18/19,-2,6,159
2M8,19G30,6/20/19,6/20/19,0,8,244
X19G30,19G30,6/20/19,6/20/19,0,5,149
2HZ,19G57,6/20/19,NA,#VALUE!,7,0:11
0HZ,19G57,6/20/19,NA,#VALUE!,5,7
2M8,19G30,6/24/19,6/20/19,-4,7,30
X19G30,19G30,6/24/19,6/20/19,-4,7,30
2HZ,19G57,6/24/19,NA,#VALUE!,6,24
0HZ,19G57,6/24/19,NA,#VALUE!,5,72
